COG ID,COG Name,COG Long Name,County,FIPS,County Name,County Long Name
1,Panhandle,Panhandle Regional Planning Commission,Armstrong (48011),48011,Armstrong,Armstrong County
2,South Plains,South Plains Association of Governments,Bailey (48017),48017,Bailey,Bailey County
3,Nortex,Nortex Regional Planning Commission,Archer (48009),48009,Archer,Archer County
4,North Central Texas,North Central Texas Council of Governments,Collin (48085),48085,Collin,Collin County
5,Ark-Tex,Ark-Tex Council of Governments,Bowie (48037),48037,Bowie,Bowie County
6,East Texas,East Texas Council of Governments,Anderson (48001),48001,Anderson,Anderson County
7,West Central Texas,West Central Texas Council of Governments,Brown (48049),48049,Brown,Brown County
8,Rio Grande,Rio Grande Council of Governments,Brewster (48043),48043,Brewster,Brewster County
9,Permian Basin,Permian Basin Regional Planning Commission,Andrews (48003),48003,Andrews,Andrews County
10,Concho Valley,Concho Valley Council of Governments,Coke (48081),48081,Coke,Coke County
11,Heart of Texas,Heart of Texas Council of Governments,Bosque (48035),48035,Bosque,Bosque County
12,Capital Area,Capital Area Council of Governments,Bastrop (48021),48021,Bastrop,Bastrop County
13,Brazos Valley,Brazos Valley Council of Governments,Brazos (48041),48041,Brazos,Brazos County
14,Deep East Texas,Deep East Texas Council of Governments,Angelina (48005),48005,Angelina,Angelina County
15,South East Texas,South East Texas Regional Planning Commission,Hardin (48199),48199,Hardin,Hardin County
16,Houston-Galveston,Houston-Galveston Area Council,Austin (48015),48015,Austin,Austin County
17,Golden Crescent,Golden Crescent Regional Planning Commission,Calhoun (48057),48057,Calhoun,Calhoun County
18,Alamo Area,Alamo Area Council of Governments,Atascosa (48013),48013,Atascosa,Atascosa County
19,South Texas,South Texas Development Council,Jim Hogg (48247),48247,Jim Hogg,Jim Hogg County
20,Coastal Bend,Coastal Bend Council of Governments,Aransas (48007),48007,Aransas,Aransas County
21,Lower Rio Grande Valley,Lower Rio Grande Valley Development Council,Cameron (48061),48061,Cameron,Cameron County
22,Texoma,Texoma Council of Governments,Cooke (48097),48097,Cooke,Cooke County
23,Central Texas,Central Texas Council of Governments,Bell (48027),48027,Bell,Bell County
24,Middle Rio Grande,Middle Rio Grande Development Council,Dimmit (48127),48127,Dimmit,Dimmit County
1,Panhandle,Panhandle Regional Planning Commission,Briscoe (48045),48045,Briscoe,Briscoe County
2,South Plains,South Plains Association of Governments,Cochran (48079),48079,Cochran,Cochran County
3,Nortex,Nortex Regional Planning Commission,Baylor (48023),48023,Baylor,Baylor County
4,North Central Texas,North Central Texas Council of Governments,Dallas (48113),48113,Dallas,Dallas County
5,Ark-Tex,Ark-Tex Council of Governments,Cass (48067),48067,Cass,Cass County
6,East Texas,East Texas Council of Governments,Camp (48063),48063,Camp,Camp County
7,West Central Texas,West Central Texas Council of Governments,Callahan (48059),48059,Callahan,Callahan County
8,Rio Grande,Rio Grande Council of Governments,Culberson (48109),48109,Culberson,Culberson County
9,Permian Basin,Permian Basin Regional Planning Commission,Borden (48033),48033,Borden,Borden County
10,Concho Valley,Concho Valley Council of Governments,Concho (48095),48095,Concho,Concho County
11,Heart of Texas,Heart of Texas Council of Governments,Falls (48145),48145,Falls,Falls County
12,Capital Area,Capital Area Council of Governments,Blanco (48031),48031,Blanco,Blanco County
13,Brazos Valley,Brazos Valley Council of Governments,Burleson (48051),48051,Burleson,Burleson County
14,Deep East Texas,Deep East Texas Council of Governments,Houston (48225),48225,Houston,Houston County
15,South East Texas,South East Texas Regional Planning Commission,Jefferson (48245),48245,Jefferson,Jefferson County
16,Houston-Galveston,Houston-Galveston Area Council,Brazoria (48039),48039,Brazoria,Brazoria County
17,Golden Crescent,Golden Crescent Regional Planning Commission,DeWitt (48123),48123,DeWitt,DeWitt County
18,Alamo Area,Alamo Area Council of Governments,Bandera (48019),48019,Bandera,Bandera County
19,South Texas,South Texas Development Council,Starr (48427),48427,Starr,Starr County
20,Coastal Bend,Coastal Bend Council of Governments,Bee (48025),48025,Bee,Bee County
21,Lower Rio Grande Valley,Lower Rio Grande Valley Development Council,Hidalgo (48215),48215,Hidalgo,Hidalgo County
22,Texoma,Texoma Council of Governments,Fannin (48147),48147,Fannin,Fannin County
23,Central Texas,Central Texas Council of Governments,Coryell (48099),48099,Coryell,Coryell County
24,Middle Rio Grande,Middle Rio Grande Development Council,Edwards (48137),48137,Edwards,Edwards County
1,Panhandle,Panhandle Regional Planning Commission,Carson (48065),48065,Carson,Carson County
2,South Plains,South Plains Association of Governments,Crosby (48107),48107,Crosby,Crosby County
3,Nortex,Nortex Regional Planning Commission,Clay (48077),48077,Clay,Clay County
4,North Central Texas,North Central Texas Council of Governments,Denton (48121),48121,Denton,Denton County
5,Ark-Tex,Ark-Tex Council of Governments,Delta (48119),48119,Delta,Delta County
6,East Texas,East Texas Council of Governments,Cherokee (48073),48073,Cherokee,Cherokee County
7,West Central Texas,West Central Texas Council of Governments,Coleman (48083),48083,Coleman,Coleman County
8,Rio Grande,Rio Grande Council of Governments,El Paso (48141),48141,El Paso,El Paso County
9,Permian Basin,Permian Basin Regional Planning Commission,Crane (48103),48103,Crane,Crane County
10,Concho Valley,Concho Valley Council of Governments,Crockett (48105),48105,Crockett,Crockett County
11,Heart of Texas,Heart of Texas Council of Governments,Freestone (48161),48161,Freestone,Freestone County
12,Capital Area,Capital Area Council of Governments,Burnet (48053),48053,Burnet,Burnet County
13,Brazos Valley,Brazos Valley Council of Governments,Grimes (48185),48185,Grimes,Grimes County
14,Deep East Texas,Deep East Texas Council of Governments,Jasper (48241),48241,Jasper,Jasper County
15,South East Texas,South East Texas Regional Planning Commission,Orange (48361),48361,Orange,Orange County
16,Houston-Galveston,Houston-Galveston Area Council,Chambers (48071),48071,Chambers,Chambers County
17,Golden Crescent,Golden Crescent Regional Planning Commission,Goliad (48175),48175,Goliad,Goliad County
18,Alamo Area,Alamo Area Council of Governments,Bexar (48029),48029,Bexar,Bexar County
19,South Texas,South Texas Development Council,Webb (48479),48479,Webb,Webb County
20,Coastal Bend,Coastal Bend Council of Governments,Brooks (48047),48047,Brooks,Brooks County
21,Lower Rio Grande Valley,Lower Rio Grande Valley Development Council,Willacy (48489),48489,Willacy,Willacy County
22,Texoma,Texoma Council of Governments,Grayson (48181),48181,Grayson,Grayson County
23,Central Texas,Central Texas Council of Governments,Hamilton (48193),48193,Hamilton,Hamilton County
24,Middle Rio Grande,Middle Rio Grande Development Council,Kinney (48271),48271,Kinney,Kinney County
1,Panhandle,Panhandle Regional Planning Commission,Castro (48069),48069,Castro,Castro County
2,South Plains,South Plains Association of Governments,Dickens (48125),48125,Dickens,Dickens County
3,Nortex,Nortex Regional Planning Commission,Cottle (48101),48101,Cottle,Cottle County
4,North Central Texas,North Central Texas Council of Governments,Ellis (48139),48139,Ellis,Ellis County
5,Ark-Tex,Ark-Tex Council of Governments,Franklin (48159),48159,Franklin,Franklin County
6,East Texas,East Texas Council of Governments,Gregg (48183),48183,Gregg,Gregg County
7,West Central Texas,West Central Texas Council of Governments,Comanche (48093),48093,Comanche,Comanche County
8,Rio Grande,Rio Grande Council of Governments,Hudspeth (48229),48229,Hudspeth,Hudspeth County
9,Permian Basin,Permian Basin Regional Planning Commission,Dawson (48115),48115,Dawson,Dawson County
10,Concho Valley,Concho Valley Council of Governments,Irion (48235),48235,Irion,Irion County
11,Heart of Texas,Heart of Texas Council of Governments,Hill (48217),48217,Hill,Hill County
12,Capital Area,Capital Area Council of Governments,Caldwell (48055),48055,Caldwell,Caldwell County
13,Brazos Valley,Brazos Valley Council of Governments,Leon (48289),48289,Leon,Leon County
14,Deep East Texas,Deep East Texas Council of Governments,Nacogdoches (48347),48347,Nacogdoches,Nacogdoches County
16,Houston-Galveston,Houston-Galveston Area Council,Colorado (48089),48089,Colorado,Colorado County
17,Golden Crescent,Golden Crescent Regional Planning Commission,Gonzales (48177),48177,Gonzales,Gonzales County
18,Alamo Area,Alamo Area Council of Governments,Comal (48091),48091,Comal,Comal County
19,South Texas,South Texas Development Council,Zapata (48505),48505,Zapata,Zapata County
20,Coastal Bend,Coastal Bend Council of Governments,Duval (48131),48131,Duval,Duval County
23,Central Texas,Central Texas Council of Governments,Lampasas (48281),48281,Lampasas,Lampasas County
24,Middle Rio Grande,Middle Rio Grande Development Council,La Salle (48283),48283,La Salle,La Salle County
1,Panhandle,Panhandle Regional Planning Commission,Childress (48075),48075,Childress,Childress County
