	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address
357	KIPP Sunnyside High School	Education-K thru 12	11000 Scott St	HOUSTON	TX	77047-1500	21-22 College Advising Corps ACTX	1							11000 Scott St, HOUSTON, TX 77047-1500
358	Klein Forest High School	Education-K thru 12	11400 Misty Vly	HOUSTON	TX	77066-3402	21-22 College Advising Corps ACTX	1							11400 Misty Vly, HOUSTON, TX 77066-3402
359	La Joya High School	Education-K thru 12	7801 W Mile 7 Rd	Mission	TX	78574	21-22 College Advising Corps ACTX	1							7801 W Mile 7 Rd, Mission, TX 78574
360	Lamar Consolidated High School	Education-K thru 12	4606 Mustang Ave	ROSENBERG	TX	77471-2121	21-22 College Advising Corps ACTX	1							4606 Mustang Ave, ROSENBERG, TX 77471-2121
361	Lancaster High School 	Education-K thru 12	200 E Wintergreen Rd	LANCASTER	TX	75134-3477	21-22 College Advising Corps ACTX	1							200 E Wintergreen Rd, LANCASTER, TX 75134-3477
362	Lanier High School	Education-K thru 12	1514 W Cesar E Chavez Blvd	SAN ANTONIO	TX	78207-3936	21-22 College Advising Corps ACTX	1							1514 W Cesar E Chavez Blvd, SAN ANTONIO, TX 78207-3936
363	Legacy of Educational Excellence High School	Education-K thru 12	1400 Jackson Keller Rd	SAN ANTONIO	TX	78213-3206	21-22 College Advising Corps ACTX	1							1400 Jackson Keller Rd, SAN ANTONIO, TX 78213-3206
364	Lopez High School	Education-K thru 12	3205 S Dakota Ave	BROWNSVILLE	TX	78521-6245	21-22 College Advising Corps ACTX	1							3205 S Dakota Ave, BROWNSVILLE, TX 78521-6245
365	MacArthur High School	Education-K thru 12	2923 Macarthur View	SAN ANTONIO	TX	78217-4505	21-22 College Advising Corps ACTX	1							2923 Macarthur View, SAN ANTONIO, TX 78217-4505
366	MacArthur High School (Houston)	Education-K thru 12	4400 Aldine Mail Rt	HOUSTON	TX	77039-5913	21-22 College Advising Corps ACTX	1							4400 Aldine Mail Rt, HOUSTON, TX 77039-5913
367	Madison High School	Education-K thru 12	5005 Stahl Rd	SAN ANTONIO	TX	78247-1710	21-22 College Advising Corps ACTX	1							5005 Stahl Rd, SAN ANTONIO, TX 78247-1710
368	Mayde Creek High School	Education-K thru 12	19202 Groschke Rd	HOUSTON	TX	77084-5600	21-22 College Advising Corps ACTX	1							19202 Groschke Rd, HOUSTON, TX 77084-5600
369	McCollum High School	Education-K thru 12	500 W Formosa Blvd	SAN ANTONIO	TX	78221-2732	21-22 College Advising Corps ACTX	1							500 W Formosa Blvd, SAN ANTONIO, TX 78221-2732
370	Memorial High School	Education-K thru 12	1227 Memorial St	SAN ANTONIO	TX	78228-6155	21-22 College Advising Corps ACTX	1							1227 Memorial St, SAN ANTONIO, TX 78228-6155
371	Mesquite High School	Education-K thru 12	300 E Davis St	MESQUITE	TX	75149-4610	21-22 College Advising Corps ACTX	1							300 E Davis St, MESQUITE, TX 75149-4610
372	Morton Ranch High School	Education-K thru 12	21000 Franz Rd	KATY	TX	77449-5729	21-22 College Advising Corps ACTX	1							21000 Franz Rd, KATY, TX 77449-5729
373	Navarro Early College High School	Education-K thru 12	1201 Peyton Gin Rd	AUSTIN	TX	78758-6616	21-22 College Advising Corps ACTX	1							1201 Peyton Gin Rd, AUSTIN, TX 78758-6616
374	Navasota High School	Education-K thru 12	9238 Hwy 90	NAVASOTA	TX	77868-4776	21-22 College Advising Corps ACTX	1							9238 Hwy 90, NAVASOTA, TX 77868-4776
375	Nimitz High School	Education-K thru 12	2005 W W Thorne Dr	HOUSTON	TX	77073-3301	21-22 College Advising Corps ACTX	1							2005 W W Thorne Dr, HOUSTON, TX 77073-3301
376	North Garland High School	Education-K thru 12	2109 W Buckingham Rd	GARLAND	TX	75042-5031	21-22 College Advising Corps ACTX	1							2109 W Buckingham Rd, GARLAND, TX 75042-5031
377	North Mesquite High School	Education-K thru 12	18201 Lbj Fwy	MESQUITE	TX	75150-4124	21-22 College Advising Corps ACTX	1							18201 Lbj Fwy, MESQUITE, TX 75150-4124
378	Pace High School	Education-K thru 12	314 W Los Ebanos Blvd	BROWNSVILLE	TX	78520-4628	21-22 College Advising Corps ACTX	1							314 W Los Ebanos Blvd, BROWNSVILLE, TX 78520-4628
379	Palmview High School	Education-K thru 12	3901 N La Homa Rd	MISSION	TX	78574-5752	21-22 College Advising Corps ACTX	1							3901 N La Homa Rd, MISSION, TX 78574-5752
380	Pasadena High School	Education-K thru 12	206 S Shaver	PASADENA	TX	77506-2016	21-22 College Advising Corps ACTX	1							206 S Shaver, PASADENA, TX 77506-2016
381	Pasadena Memorial High School	Education-K thru 12	4410 Crenshaw	PASADENA	TX	77504-3629	21-22 College Advising Corps ACTX	1							4410 Crenshaw, PASADENA, TX 77504-3629
382	Porter High School	Education-K thru 12	3500 International Blvd	BROWNSVILLE	TX	78521-3230	21-22 College Advising Corps ACTX	1							3500 International Blvd, BROWNSVILLE, TX 78521-3230
383	Poteet High School	Education-K thru 12	3300 Poteet Dr	MESQUITE	TX	75150-4760	21-22 College Advising Corps ACTX	1							3300 Poteet Dr, MESQUITE, TX 75150-4760
384	PSJA Memorial High School	Education-K thru 12	800 S Alamo Rd	ALAMO	TX	78516-9516	21-22 College Advising Corps ACTX	1							800 S Alamo Rd, ALAMO, TX 78516-9516
385	PSJA North Early College High School	Education-K thru 12	500 E Nolana Loop	PHARR	TX	78577-5840	21-22 College Advising Corps ACTX	1							500 E Nolana Loop, PHARR, TX 78577-5840
386	Richardson High School	Education-K thru 12	1250 W Belt Line Rd	RICHARDSON	TX	75080-5850	21-22 College Advising Corps ACTX	1							1250 W Belt Line Rd, RICHARDSON, TX 75080-5850
387	Rivera High School	Education-K thru 12	6955 FM 802	BROWNSVILLE	TX	78526-6920	21-22 College Advising Corps ACTX	1							6955 FM 802, BROWNSVILLE, TX 78526-6920
388	Roosevelt High School	Education-K thru 12	5110 Walzem Rd	SAN ANTONIO	TX	78218-2119	21-22 College Advising Corps ACTX	2							5110 Walzem Rd, SAN ANTONIO, TX 78218-2119
389	Rudder High School	Education-K thru 12	3251 Austins Colony Pkwy	BRYAN	TX	77808-2276	21-22 College Advising Corps ACTX	1							3251 Austins Colony Pkwy, BRYAN, TX 77808-2276
390	Sam Houston High School	Education-K thru 12	4635 E Houston St	SAN ANTONIO	TX	78220-1717	21-22 College Advising Corps ACTX	1							4635 E Houston St, SAN ANTONIO, TX 78220-1717
391	Sam Rayburn High School	Education-K thru 12	2121 Cherrybrook Ln	PASADENA	TX	77502-4101	21-22 College Advising Corps ACTX	1							2121 Cherrybrook Ln, PASADENA, TX 77502-4101
392	San Marcos High School	Education-K thru 12	2601 Rattler Rd	SAN MARCOS	TX	78666-6453	21-22 College Advising Corps ACTX	1							2601 Rattler Rd, SAN MARCOS, TX 78666-6453
393	Somerset High School	Education-K thru 12	7650 S Loop 1604 W	SOMERSET	TX	78069	21-22 College Advising Corps ACTX	1							7650 S Loop 1604 W, SOMERSET, TX 78069
394	South Garland High School	Education-K thru 12	600 Colonel Dr	GARLAND	TX	75043-2302	21-22 College Advising Corps ACTX	1							600 Colonel Dr, GARLAND, TX 75043-2302
395	South Grand Prairie High School	Education-K thru 12	301 W Warrior Trl	GRAND PRAIRIE	TX	75052-5718	21-22 College Advising Corps ACTX	1							301 W Warrior Trl, GRAND PRAIRIE, TX 75052-5718
396	South Houston High School	Education-K thru 12	3820 S Shaver	SO HOUSTON	TX	77587-5206	21-22 College Advising Corps ACTX	1							3820 S Shaver, SO HOUSTON, TX 77587-5206
397	Southwest High School 	Education-K thru 12	11690 Dragon Ln	SAN ANTONIO	TX	78252-2647	21-22 College Advising Corps ACTX	1							11690 Dragon Ln, SAN ANTONIO, TX 78252-2647
398	Taylor High School	Education-K thru 12	7555 Howell Sugar Land Rd	HOUSTON	TX	77083-3338	21-22 College Advising Corps ACTX	1							7555 Howell Sugar Land Rd, HOUSTON, TX 77083-3338
399	Travis B. Bryan High School	Education-K thru 12	3450 Campus Dr	BRYAN	TX	77802-3300	21-22 College Advising Corps ACTX	1							3450 Campus Dr, BRYAN, TX 77802-3300
400	Veterans Memorial Early College High School	Education-K thru 12	4550 U S Military Hwy 281	BROWNSVILLE	TX	78520-4020	21-22 College Advising Corps ACTX	1							4550 U S Military Hwy 281, BROWNSVILLE, TX 78520-4020
401	Vangaurd Acadamy	Education-K thru 12	1200 E Kelly Ave	PHARR	TX	78577-5033	21-22 College Advising Corps ACTX	1							1200 E Kelly Ave, PHARR, TX 78577-5033
402	West Mesquite High School	Education-K thru 12	2500 Memorial Pkwy	MESQUITE	TX	75149-3702	21-22 College Advising Corps ACTX	1							2500 Memorial Pkwy, MESQUITE, TX 75149-3702
403	Casa Linda United Methodist Church	Church	1800 Barnes Bridge Road	Dallas	TX	75228-2123	21-22 Project Transformation ACTX			0		12	0		1800 Barnes Bridge Road, Dallas, TX 75228-2123
404	Chapel Hill United Methodist Church	Church	12411 Templeton Trail	Farmers Branch	TX	75234-6541	21-22 Project Transformation ACTX	1		2		13			12411 Templeton Trail, Farmers Branch, TX 75234-6541
405	Christ's Foundry United Methodist Mission	Church	3363 Park Lane	Dallas	TX	75220-1626	21-22 Project Transformation ACTX	2		1		12			3363 Park Lane, Dallas, TX 75220-1626
406	Cockrell Hill United Methodist	Church	4031 W. Clarendon Drive	Dallas	TX	75211	21-22 Project Transformation ACTX			0		12	0		4031 W. Clarendon Drive, Dallas, TX 75211
407	Elmwood El Buen Samaritano United Methodist Church	Church	1315 Berkley	Dallas	TX	75224-1221	21-22 Project Transformation ACTX	2		1		13			1315 Berkley, Dallas, TX 75224-1221
408	Grace United Methodist Church	Church	4105 Junius Street	Dallas	TX	75246-1428	21-22 Project Transformation ACTX			0		12	0		4105 Junius Street, Dallas, TX 75246-1428
409	Oak Haven United Methodist Church	Church	1600 N. Irving Heights Dr.	Irving	TX	75061-5148	21-22 Project Transformation ACTX		1.0			14			1600 N. Irving Heights Dr., Irving, TX 75061-5148
410	Pleasant Mound	Church	8301 Bruton Road	Dallas	TX	75217-1905	21-22 Project Transformation ACTX	1		2		13			8301 Bruton Road, Dallas, TX 75217-1905
411	The River Conference	Church	3930 Boulder Dr. 	Dallas	TX	75233-3116	21-22 Project Transformation ACTX		1.0			14			3930 Boulder Dr., Dallas, TX 75233-3116
412	Walnut Hill Church	Church	10066 Marsh Lane	Dallas	TX	75229-6065	21-22 Project Transformation ACTX			0		9	0		10066 Marsh Lane, Dallas, TX 75229-6065
413	St. Philip's United Methodist	Church	3717 Broadway Blvd.	Garland	TX	75043-1612	21-22 Project Transformation ACTX					9			3717 Broadway Blvd., Garland, TX 75043-1612
414	Bayles Elementary School	Education-K thru 12	2444 Telegraph Ave	DALLAS	TX	75228-5819	21-22 Reading Partners ACTX	2							2444 Telegraph Ave, DALLAS, TX 75228-5819
415	Como Elementary School	Education-K thru 12	4000 Horne St	FORT WORTH	TX	76107-6915	21-22 Reading Partners ACTX	1							4000 Horne St, FORT WORTH, TX 76107-6915
416	David G Burnet Elementary School	Education-K thru 12	3200 Kinkaid Dr	DALLAS	TX	 75220-1623	21-22 Reading Partners ACTX	2							3200 Kinkaid Dr, DALLAS, TX 75220-1623
417	Eduardo Mata Elementary School School	Education-K thru 12	7420 La Vista	DALLAS	TX	75214-4230	21-22 Reading Partners ACTX	2							7420 La Vista, DALLAS, TX 75214-4230
418	George Clarke Elementary School	Education-K thru 12	3300 South Henderson St	FORT WORTH	TX	76110-6799	21-22 Reading Partners ACTX	2							3300 South Henderson St, FORT WORTH, TX 76110-6799
419	Heights Preparatory	Education-K thru 12	2650 Canada Dr	DALLAS	TX	75212-1517	21-22 Reading Partners ACTX	2							2650 Canada Dr, DALLAS, TX 75212-1517
420	J N Ervin Elementary School School	Education-K thru 12	3722 Black Oak Dr	DALLAS	TX	75241-3307	21-22 Reading Partners ACTX	2							3722 Black Oak Dr, DALLAS, TX 75241-3307
421	Jill Stone Elementary School At Vickery Meadow	Education-K thru 12	6606 Ridgecrest Rd	DALLAS	TX	75231-7002	21-22 Reading Partners ACTX	2							6606 Ridgecrest Rd, DALLAS, TX 75231-7002
422	John T White Elementary School	Education-K thru 12	7300 John T White Rd	FORT WORTH	TX	76120-0000	21-22 Reading Partners ACTX	2							7300 John T White Rd, FORT WORTH, TX 76120-0000
423	K B Polk Center For Academically Talented	Education-K thru 12	6911 Victoria Ave	DALLAS	TX	75209-3640	21-22 Reading Partners ACTX	2							6911 Victoria Ave, DALLAS, TX 75209-3640
424	L L Hotchkiss Elementary School	Education-K thru 12	6929 Town North Dr	DALLAS	TX	75231-8117	21-22 Reading Partners ACTX	2							6929 Town North Dr, DALLAS, TX 75231-8117
425	Leonides Gonzalez Cigarroa Md Elementary School	Education-K thru 12	9990 Webb Chapel Rd	DALLAS	TX	75220-0000	21-22 Reading Partners ACTX	2							9990 Webb Chapel Rd, DALLAS, TX 75220-0000
426	Maude I Logan Elementary School	Education-K thru 12	2300 Dillard St	FORT WORTH	TX	76105-3898	21-22 Reading Partners ACTX	2							2300 Dillard St, FORT WORTH, TX 76105-3898
427	Mitchell Boulevard Elementary School	Education-K thru 12	3601 Mitchell Blvd	FORT WORTH	TX	76105-5215	21-22 Reading Partners ACTX	2							3601 Mitchell Blvd, FORT WORTH, TX 76105-5215
428	Mount Auburn Elementary School	Education-K thru 12	6012 East Grand Ave	DALLAS	TX	75223-1423	21-22 Reading Partners ACTX	2							6012 East Grand Ave, DALLAS, TX 75223-1423
429	Stephen C Foster Elementary School	Education-K thru 12	3700 Clover Ln	DALLAS	TX	75220-3610	21-22 Reading Partners ACTX	2							3700 Clover Ln, DALLAS, TX 75220-3610
430	Tom C Gooch Elementary School	Education-K thru 12	4030 Calculus Rd	DALLAS	TX	75244-7215	21-22 Reading Partners ACTX	2							4030 Calculus Rd, DALLAS, TX 75244-7215
431	Reading Partners Regional Dallas Office	Nonprofit	2910 Swiss Ave	DALLAS	TX	75204-5962	21-22 Reading Partners ACTX	10							2910 Swiss Ave, DALLAS, TX 75204-5962
432	Ascend Preparatory Middle School	Education-K thru 12	3301 Turf Paradise Pkwy	Fort Worth	TX	76140	21-22 Relay ACTX	1							3301 Turf Paradise Pkwy, Fort Worth, TX 76140
433	Ascend Preparatory Primary School	Education-K thru 12	3301 Turf Paradise Pkwy	Fort Worth	TX	76140	21-22 Relay ACTX	1							3301 Turf Paradise Pkwy, Fort Worth, TX 76140
434	Chapel Hill Academy Charter School	Education-K thru 12	4640 Sycamore School Rd	Fort Worth	TX	76133	21-22 Relay ACTX	1							4640 Sycamore School Rd, Fort Worth, TX 76133
435	Destiny Elementary	Education-K thru 12	3663 W Camp Wisdom Rd	Dallas	TX	75237	21-22 Relay ACTX	1							3663 W Camp Wisdom Rd, Dallas, TX 75237
436	Elevate Preparatory Primary 	Education-K thru 12	10800 Chapin Road	Fort Worth	TX	76108 	21-22 Relay ACTX	2							10800 Chapin Road, Fort Worth, TX 76108
437	Elevate Preparatory Middle 	Education-K thru 12	10800 Chapin Road 	Fort Worth	TX	76008	21-22 Relay ACTX	1							10800 Chapin Road, Fort Worth, TX 76008
438	Hampton Preparatory Middle School	Education-K thru 12	8915 S Hampton Rd	Dallas	TX	75232	21-22 Relay ACTX	1							8915 S Hampton Rd, Dallas, TX 75232
439	Heights Preparatory Middle School	Education-K thru 12	2650 Canada Dr	Dallas	TX	75212	21-22 Relay ACTX	1							2650 Canada Dr, Dallas, TX 75212
440	Heights Preparatory Primary	Education-K thru 12	2202 Calypso St, Dallas	Dallas	TX	75212	21-22 Relay ACTX	4							2202 Calypso St, Dallas, Dallas, TX 75212
441	Infinity Preparatory High	Education-K thru 12	1401 S Macarthur Blvd	Irving	TX	75060	21-22 Relay ACTX	1							1401 S Macarthur Blvd, Irving, TX 75060
442	Lee Preparatory Primary (Delmas Morton)	Education-K thru 12	401 East Grand Prairie Road 	Grand Prairie	TX	75051	21-22 Relay ACTX	1							401 East Grand Prairie Road, Grand Prairie, TX 75051
443	IDEA Achieve College Prep	Education-K thru 12	1900 Thomas Rd	Haltom City	TX	76117	21-22 Relay ACTX	1							1900 Thomas Rd, Haltom City, TX 76117
444	IDEA Edgecliff	Education-K thru 12	1640 Altamesa Blvd	Fort Worth	TX	76134	21-22 Relay ACTX	2							1640 Altamesa Blvd, Fort Worth, TX 76134
445	Infinity Preparatory High	Education-K thru 12	1401 S Macarthur Blvd,	Irving	TX	75060	21-22 Relay ACTX	1							1401 S Macarthur Blvd,, Irving, TX 75060
446	KIPP Destiny Elementary	Education-K thru 12	3663 W Camp Wisdom Rd	Dallas	TX	75237	21-22 Relay ACTX	1							3663 W Camp Wisdom Rd, Dallas, TX 75237
447	Kipp Oak Cliff Academy	Education-K thru 12	 3200 S Lancaster Rd	Dallas	TX	75216	21-22 Relay ACTX	1							3200 S Lancaster Rd, Dallas, TX 75216
448	Luna Preparatory Middle School	Education-K thru 12	2625 Elm St	Dallas	TX	75226	21-22 Relay ACTX	1							2625 Elm St, Dallas, TX 75226
449	Mighty Preparatory Middle School	Education-K thru 12	3700 Mighty Mite Dr. 	Fort Worth	TX	76105	21-22 Relay ACTX	2							3700 Mighty Mite Dr., Fort Worth, TX 76105
450	Peak Preparatory Middle	Education-K thru 12	4600 Bryan Street 	Dallas	TX	75204	21-22 Relay ACTX	1							4600 Bryan Street, Dallas, TX 75204
451	Pinnacle Preparatory Primary	Education-K thru 12	2510 S Vernon Ave	Dallas	TX	75224	21-22 Relay ACTX	2							2510 S Vernon Ave, Dallas, TX 75224
452	Pleasant Grove	Education-K thru 12	2200 N St Augustine Dr	Dallas	TX	75227	21-22 Relay ACTX	1							2200 N St Augustine Dr, Dallas, TX 75227
453	Summit International Preparatory Middle School	Education-K thru 12	1305 N Center St	Arlington	TX	76011	21-22 Relay ACTX	3							1305 N Center St, Arlington, TX 76011
454	Truth Elementary	Education-K thru 12	1545 S Ewing Ave	Dallas	TX	75216	21-22 Relay ACTX	2							1545 S Ewing Ave, Dallas, TX 75216
455	Willams Preparatory High School	Education-K thru 12	1750 Viceroy Dr	Dallas	TX	75235	21-22 Relay ACTX	3							1750 Viceroy Dr, Dallas, TX 75235
456	Unknown KIPP (Dallas)	Education-K thru 12		Dallas	TX		21-22 Relay ACTX	4							
457	Unknown DISD (Dallas)	Education-K thru 12		Dallas	TX		21-22 Relay ACTX	1							
458	Unknown Uplift (Dallas)	Education-K thru 12		Dallas	TX		21-22 Relay ACTX	2							
459	Wisdom Preparatory High	Education-K thru 12	301 W. Camp Wisdom Rd	Dallas	TX	75232	21-22 Relay ACTX	1							301 W. Camp Wisdom Rd, Dallas, TX 75232
460	3D Academy	Education-K thru 12	500 Tidwell Rd	Houston	TX	77022	21-22 Relay ACTX	3							500 Tidwell Rd, Houston, TX 77022
461	Academy Middle School	Education-K thru 12	10711 Kipp Way St	Houston	TX	77099	21-22 Relay ACTX	2							10711 Kipp Way St, Houston, TX 77099
462	Academy West	Education-K thru 12	8500 S Texas 6	Houston	TX	77083	21-22 Relay ACTX	2							8500 S Texas 6, Houston, TX 77083
463	Alexander Elementary School	Education-K thru 12	8500 Brookwulf Dr,	Houston	TX	77072	21-22 Relay ACTX	1							8500 Brookwulf Dr,, Houston, TX 77072
464	Alief Middle School	Education-K thru 12	4415 Cook Rd	Houston	TX	77072	21-22 Relay ACTX	1							4415 Cook Rd, Houston, TX 77072
465	Cedar Brook Elementary	Education-K thru 12	2121 Ojeman Rd	Houston	TX	77080	21-22 Relay ACTX	1							2121 Ojeman Rd, Houston, TX 77080
466	Chambers Elementary School	Education-K thru 12	10700 Carvel Ln,	Houston	TX	77072	21-22 Relay ACTX	1							10700 Carvel Ln,, Houston, TX 77072
467	Chancellor Elementary School	Education-K thru 12	4350 Boone Rd	Houston	TX	77072	21-22 Relay ACTX	1							4350 Boone Rd, Houston, TX 77072
468	Climb Academy	Education-K thru 12	8805 Ferndale	Houston	TX	77017	21-22 Relay ACTX	1							8805 Ferndale, Houston, TX 77017
469	Connect Middle School	Education-K thru 12	6700 Bellaire Blvd	Houston	TX	77074	21-22 Relay ACTX	2							6700 Bellaire Blvd, Houston, TX 77074
470	Connect Primary	Education-K thru 12	6700 Bellaire Blvd	Houston	TX	77074	21-22 Relay ACTX	2							6700 Bellaire Blvd, Houston, TX 77074
471	Courage College Prep	Education-K thru 12	2200 Ridgecrest Dr	Houston	TX	77055	21-22 Relay ACTX	1							2200 Ridgecrest Dr, Houston, TX 77055
472	Dream Prep	Education-K thru 12	500 Tidwell Rd	Houston	TX	77022	21-22 Relay ACTX	2							500 Tidwell Rd, Houston, TX 77022
473	East End High School	Education-K thru 12	5402 Lawndale St	Houston	TX	77023	21-22 Relay ACTX	1							5402 Lawndale St, Houston, TX 77023
474	Explore Academy	Education-K thru 12	5402 Lawndale St	Houston	TX	77023	21-22 Relay ACTX	3							5402 Lawndale St, Houston, TX 77023
475	Hearne Elementary School	Education-K thru 12	13939 Rio Bonito Rd	Houston	TX	77083	21-22 Relay ACTX	2							13939 Rio Bonito Rd, Houston, TX 77083
476	Hicks Elementary School	Education-K thru 12	8520 Hemlock Hill Dr	Houston	TX	77083	21-22 Relay ACTX	1							8520 Hemlock Hill Dr, Houston, TX 77083
477	Hunters Creek Elementary School	Education-K thru 12	10650 Beinhorn Rd	Houston	TX	77024	21-22 Relay ACTX	1							10650 Beinhorn Rd, Houston, TX 77024
478	Kennedy Elementary School	Education-K thru 12	10200 Huntington Pl Dr	Houston	TX	77099	21-22 Relay ACTX	1							10200 Huntington Pl Dr, Houston, TX 77099
479	Legacy Preparatory School	Education-K thru 12	9606 Mesa Dr	Houston	TX	77078	21-22 Relay ACTX	4							9606 Mesa Dr, Houston, TX 77078
480	Liberation College Preparatory	Education-K thru 12	5400 Martin Luther King Blvd	Houston	TX	77021	21-22 Relay ACTX	2							5400 Martin Luther King Blvd, Houston, TX 77021
481	Mahanay Elementary School	Education-K thru 12	13215 High Star Dr	Houston	TX	77083	21-22 Relay ACTX	1							13215 High Star Dr, Houston, TX 77083
482	Meadow Wood Elementary School	Education-K thru 12	14230 Memorial Dr	Houston	TX	77079	21-22 Relay ACTX	1							14230 Memorial Dr, Houston, TX 77079
483	Mosaic Primary	Education-K thru 12	12751 Hillcroft Ave	Houston	TX	77085	21-22 Relay ACTX	2							12751 Hillcroft Ave, Houston, TX 77085
484	Mosaic Academy	Education-K thru 12	12751 Hillcroft Ave	Houston	TX	77085	21-22 Relay ACTX	1							12751 Hillcroft Ave, Houston, TX 77085
485	Nexus Middle School	Education-K thru 12	4211 Watonga Blvd	Houston	TX	77092	21-22 Relay ACTX	1							4211 Watonga Blvd, Houston, TX 77092
486	Nexus Primary	Education-K thru 12	4211 Watonga Blvd	Houston	TX	77092	21-22 Relay ACTX	2							4211 Watonga Blvd, Houston, TX 77092
487	Yes Prep Northwest	Education-K thru 12	14741 Yorktown Plaza Dr	Houston	TX	77040	21-22 Relay ACTX	1							14741 Yorktown Plaza Dr, Houston, TX 77040
488	Peace Elementary School	Education-K thru 12	5400 Martin Luther King Blvd	Houston	TX	77021	21-22 Relay ACTX	2							5400 Martin Luther King Blvd, Houston, TX 77021
489	SHARP College Prep	Education-K thru 12	8430 Westglen Drive	Houston	TX	77063	21-22 Relay ACTX	2							8430 Westglen Drive, Houston, TX 77063
490	Sharpstown College Prep	Education-K thru 12	8440 Westpark Drive	Houston	TX	77063	21-22 Relay ACTX	1							8440 Westpark Drive, Houston, TX 77063
491	Shotwell MS	Education-K thru 12	6515 Trail Valley Way	Houston	TX	77086	21-22 Relay ACTX	2							6515 Trail Valley Way, Houston, TX 77086
492	Sneed Elementary	Education-K thru 12	9855 Pagewood Ln	Houston	TX	77042	21-22 Relay ACTX	1							9855 Pagewood Ln, Houston, TX 77042
493	Spring Woods Middle School	Education-K thru 12	9810 Neuens Rd	Houston	TX	77080	21-22 Relay ACTX	1							9810 Neuens Rd, Houston, TX 77080
494	Stephens Elementary	Education-K thru 12	2402 Aldine Mail Rte Rd	Houston	TX	77039	21-22 Relay ACTX	2							2402 Aldine Mail Rte Rd, Houston, TX 77039
495	Sunnyside High School	Education-K thru 12	11000 Scott St	Houston	TX	77047	21-22 Relay ACTX	1							11000 Scott St, Houston, TX 77047
496	Unity Primary	Education-K thru 12	8500 S Texas 6	Houston	TX	77083	21-22 Relay ACTX	2							8500 S Texas 6, Houston, TX 77083
497	Unknown Aldine ISD (Houston)	Education-K thru 12		Houston	TX		21-22 Relay ACTX	4							
498	Unknown Alief ISD (Houston)	Education-K thru 12		Houston	TX		21-22 Relay ACTX	4							
499	Unknown KIPP (Houston)	Education-K thru 12		Houston	TX		21-22 Relay ACTX	30							
500	Unknown Spring Branch ISD (Houston)	Education-K thru 12		Houston	TX		21-22 Relay ACTX	4							
501	Zenith Academy	Education-K thru 12	11000 Scott St	Houston	TX	77047	21-22 Relay ACTX	2							11000 Scott St, Houston, TX 77047
502	Carver	Education-K thru 12	217 Robinson Pl	San Antonio	TX	78202	21-22 Relay ACTX	7							217 Robinson Pl, San Antonio, TX 78202
503	Compass Rose Academy Legacy Campus	Education-K thru 12	8005 Outer Circle Rd	San Antonio	TX	78234	21-22 Relay ACTX	3							8005 Outer Circle Rd, San Antonio, TX 78234
504	Esperanza	Education-K thru 12	239 Stark St	San Antonio	TX	78204	21-22 Relay ACTX	2							239 Stark St, San Antonio, TX 78204
505	Ingram Hills	Education-K thru 12	3115 Majestic Dr	San Antonio	TX	78228	21-22 Relay ACTX	3							3115 Majestic Dr, San Antonio, TX 78228
506	Ogden Elementary School	Education-K thru 12	2215 Leal St	San Antonio	TX	78207	21-22 Relay ACTX	3							2215 Leal St, San Antonio, TX 78207
507	Ollie Perry Storm Elementary School (Storm)	Education-K thru 12	435 Brady Blvd	San Antonio	TX	78207	21-22 Relay ACTX	1							435 Brady Blvd, San Antonio, TX 78207
508	South Flores Academy	Education-K thru 12	 6919 S Flores St	San Antonio	TX	78221	21-22 Relay ACTX	2							6919 S Flores St, San Antonio, TX 78221
509	Alamo	Education-K thru 12	325 Kansas Rd	Alamo	TX	78516	21-22 Relay ACTX	1							325 Kansas Rd, Alamo, TX 78516
510	IDEA Amber Creek	Education-K thru 12	10170 Kriewald Rd	San Antonio	TX	78245	21-22 Relay ACTX	1							10170 Kriewald Rd, San Antonio, TX 78245
511	IDEA Burke	Education-K thru 12	10434 Marbach Rd	San Antonio	TX	78245	21-22 Relay ACTX	2							10434 Marbach Rd, San Antonio, TX 78245
512	IDEA Eastside	Education-K thru 12	2519 Martin Luther King Dr	San Antonio	TX	78203	21-22 Relay ACTX	1							2519 Martin Luther King Dr, San Antonio, TX 78203
513	IDEA Health Professions CP	Education-K thru 12	5816 Wilcab	Austin	TX	78721	21-22 Relay ACTX	1							5816 Wilcab, Austin, TX 78721
514	IDEA Horizon Vista	Education-K thru 12	201 Horizon Crossing St	Horizon City	TX	79928	21-22 Relay ACTX	1							201 Horizon Crossing St, Horizon City, TX 79928
515	IDEA Mays	Education-K thru 12	1210 Horal Dr	San Antonio	TX	78227	21-22 Relay ACTX	3							1210 Horal Dr, San Antonio, TX 78227
516	IDEA Monterrey Park	Education-K thru 12	222 SW 39th St,	San Antonio	TX	78237	21-22 Relay ACTX	2							222 SW 39th St,, San Antonio, TX 78237
517	IDEA Pflugerville	Education-K thru 12	1901 E Wells Branch Pkwy	Pflugerville	TX	78660	21-22 Relay ACTX	1							1901 E Wells Branch Pkwy, Pflugerville, TX 78660
518	IDEA Owassa	Education-K thru 12	1000 E Owassa Rd	Pharr	TX	78577	21-22 Relay ACTX	1							1000 E Owassa Rd, Pharr, TX 78577
