District,Rep_lastName,Rep_firstName,Rep_middleName,Rep_homepage_url,Rep_photo_url
54,Buckley,Brad,,https://house.texas.gov/members/member-page/?district=54,https://house.texas.gov/photos/members/3585.jpg?v=01
55,Shine,Hugh,,https://house.texas.gov/members/member-page/?district=55,https://house.texas.gov/photos/members/4455.jpg?v=01
56,Anderson,Charles,"""Doc""",https://house.texas.gov/members/member-page/?district=56,https://house.texas.gov/photos/members/2155.jpg?v=01
57,Ashby,Trent,,https://house.texas.gov/members/member-page/?district=57,https://house.texas.gov/photos/members/2330.jpg?v=01
58,Burns,DeWayne,,https://house.texas.gov/members/member-page/?district=58,https://house.texas.gov/photos/members/2975.jpg?v=01
59,Slawson,Shelby,,https://house.texas.gov/members/member-page/?district=59,https://house.texas.gov/photos/members/4055.jpg?v=01
60,Rogers,Glenn,,https://house.texas.gov/members/member-page/?district=60,https://house.texas.gov/photos/members/4025.jpg?v=01
61,King,Phil,,https://house.texas.gov/members/member-page/?district=61,https://house.texas.gov/photos/members/3470.jpg?v=01
62,Smith,Reggie,,https://house.texas.gov/members/member-page/?district=62,https://house.texas.gov/photos/members/3765.jpg?v=01
63,Parker,Tan,,https://house.texas.gov/members/member-page/?district=63,https://house.texas.gov/photos/members/4090.jpg?v=01
64,Stucky,Lynn,,https://house.texas.gov/members/member-page/?district=64,https://house.texas.gov/photos/members/3220.jpg?v=01
65,Beckley,Michelle,,https://house.texas.gov/members/member-page/?district=65,https://house.texas.gov/photos/members/3795.jpg?v=01
66,Shaheen,Matt,,https://house.texas.gov/members/member-page/?district=66,https://house.texas.gov/photos/members/2995.jpg?v=01
67,Leach,Jeff,,https://house.texas.gov/members/member-page/?district=67,https://house.texas.gov/photos/members/2475.jpg?v=01
68,Spiller,David,,https://house.texas.gov/members/member-page/?district=68,https://house.texas.gov/photos/members/4075.jpg?v=01
69,Frank,James,,https://house.texas.gov/members/member-page/?district=69,https://house.texas.gov/photos/members/2385.jpg?v=01
70,Sanford,Scott,,https://house.texas.gov/members/member-page/?district=70,https://house.texas.gov/photos/members/2715.jpg?v=01
71,Lambert,Stan,,https://house.texas.gov/members/member-page/?district=71,https://house.texas.gov/photos/members/3225.jpg?v=01
72,Darby,Drew,,https://house.texas.gov/members/member-page/?district=72,https://house.texas.gov/photos/members/2645.jpg?v=01
73,Biedermann,Kyle,,https://house.texas.gov/members/member-page/?district=73,https://house.texas.gov/photos/members/3575.jpg?v=01
74,Morales,Eddie,,https://house.texas.gov/members/member-page/?district=74,https://house.texas.gov/photos/members/4000.jpg?v=01
75,González,Mary,,https://house.texas.gov/members/member-page/?district=75,https://house.texas.gov/photos/members/2410.jpg?v=01
